Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2943126,2024-06-12T00:00:00Z,Florida,Hudson,Nottingham Trail,4,0,0,0,1
2937456,2024-06-11T00:00:00Z,Tennessee,Memphis,I-240 and Poplar Avenue,0,5,0,0,4
2935591,2024-06-09T00:00:00Z,District of Columbia,Washington,2200 Minnesota Avenue Southeast,0,6,0,0,0
2935430,2024-06-09T00:00:00Z,Texas,Dallas,Elm Street and N Crowdus Street,0,4,0,0,0
2935144,2024-06-09T00:00:00Z,Wisconsin,Madison,433 W Johnson Street,0,12,0,0,1
2936012,2024-06-09T00:00:00Z,Virginia,Richmond,200 N 2nd Street,0,4,0,0,0
2936435,2024-06-08T00:00:00Z,Alabama,Eufaula,900 Jackson Street,0,4,0,0,0
2934578,2024-06-08T00:00:00Z,South Dakota,Sioux Falls,5105 S Drexel Avenue,3,2,0,0,1
2934537,2024-06-08T00:00:00Z,North Carolina,Charlotte,616 N Tryon Street,1,3,0,0,1
2934048,2024-06-07T00:00:00Z,Missouri,Saint Louis,2600 Shannon Avenue,1,4,0,0,0
2934417,2024-06-07T00:00:00Z,South Carolina,Seabrook,Horace Dawson Ln,0,4,0,0,0
2934007,2024-06-07T00:00:00Z,California,Compton,E Greenleaf Blvd and S Mayo Avenue,1,5,0,0,0
2933578,2024-06-06T00:00:00Z,Missouri,Kansas City,3200 Bellefontaine Avenue,2,2,0,0,0
2930393,2024-06-03T00:00:00Z,Tennessee,Memphis,3600 Powers Road,0,4,0,0,0
2930818,2024-06-03T00:00:00Z,Virginia,Triangle,3700 Masthead Trail,1,3,0,0,1
2931572,2024-06-03T00:00:00Z,Pennsylvania,Philadelphia,N Philip Street and W Westmoreland Street,0,4,0,0,0
2928604,2024-06-02T00:00:00Z,Pennsylvania,Pittsburgh,3534 Laketon Road,2,7,0,0,1
2928765,2024-06-02T00:00:00Z,Florida,Pensacola,Palafox Street and W Intendencia Street,0,4,0,0,1
2928754,2024-06-02T00:00:00Z,Virginia,Newport News,26th Street and Parish Avenue,0,4,0,0,0
2929682,2024-06-02T00:00:00Z,Missouri,Saint Louis,3775 Kossuth Avenue,0,6,0,0,0
2928614,2024-06-02T00:00:00Z,Kentucky,Louisville,7015 Raggard Road,0,7,0,0,0
2928467,2024-06-02T00:00:00Z,Ohio,Akron,Kelly Avenue and 8th Avenue,1,28,0,0,0
2929504,2024-06-01T00:00:00Z,Pennsylvania,Philadelphia,900 S 58th Street,1,3,0,0,0
2928378,2024-06-01T00:00:00Z,Michigan,Detroit,W Grand Blvd and W Warren Avenue,0,5,0,0,0
2928808,2024-06-01T00:00:00Z,South Carolina,Rock Hill,900 Southland Dr,2,2,0,0,1
2927825,2024-06-01T00:00:00Z,Arizona,Sacaton,629 W Moffett Road,2,4,0,2,2
2928214,2024-06-01T00:00:00Z,Ohio,Columbus,500 N Ohio Avenue,1,3,0,0,0
2925929,2024-05-30T00:00:00Z,Minnesota,Minneapolis,2221 Blaisdell Avenue,3,3,1,0,0
2926808,2024-05-30T00:00:00Z,Maryland,Elkridge,6900 Norwood Ferry,3,1,1,0,0
2926373,2024-05-30T00:00:00Z,Georgia,Decatur,2300 Greenway Dr,0,5,0,1,1
2927030,2024-05-30T00:00:00Z,Utah,Salt Lake City,W Fireclay Avenue and Birkhill Blvd,1,3,0,0,1
2923547,2024-05-28T00:00:00Z,Connecticut,Waterbury,50 Mitchell Avenue,0,4,0,0,0
2922097,2024-05-27T00:00:00Z,Michigan,Lansing,325 Riverfront Dr,1,6,0,0,0
